EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,10,8,6,4,10,9,7,8,13,esinemine; soome; arder; õping; armastus; muusikakool; unistus; kontsert; muusika; helin-mari; helilooja
8,10,8,6,4,10,9,7,8,13,esinemine; soome; arder; õping; armastus; muusikakool; unistus; kontsert; muusika; helin-mari; helilooja
8,10,9,6,4,10,9,7,8,13,esinemine; soome; arder; õping; armastus; muusikakool; unistus; kontsert; muusika; helin-mari; helilooja
7,10,10,6,4,10,8,9,8,13,esinemine; soome; arder; õping; muusikakool; armastus; unistus; kontsert; muusika; helin-mari; helilooja
8,10,10,7,4,10,9,9,8,13,esinemine; soome; arder; õping; muusikakool; armastus; unistus; kontsert; muusika; helin-mari; helilooja
8,6,10,7,4,10,10,9,8,13,esinemine; soome; arder; õping; muusikakool; armastus; unistus; kontsert; muusika; helin-mari; helilooja
8,4,9,8,6,10,10,11,7,13,esinemine; soome; arder; õping; muusikakool; armastus; unistus; kontsert; helin-mari; muusika; helilooja
9,7,10,8,6,10,9,10,8,13,esinemine; soome; arder; õping; muusikakool; armastus; unistus; kontsert; helin-mari; muusika; helilooja
7,8,9,9,6,9,8,7,6,13,esinemine; soome; arder; õping; armastus; muusikakool; unistus; kontsert; helin-mari; muusika; helilooja
9,8,8,9,8,6,7,8,8,13,esinemine; soome; arder; õping; muusikakool; armastus; unistus; kontsert; helin-mari; muusika; helilooja
8,6,8,9,9,7,6,8,6,13,esinemine; soome; arder; õping; muusikakool; armastus; unistus; kontsert; helin-mari; helilooja; muusika
