EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,5,6,6,8,6,6,6,11,male; olümpia; kere; paul; paide; partii; naiskond; treener; võistkond
8,7,5,6,6,8,7,6,6,11,male; olümpia; kere; paul; paide; partii; naiskond; treener; võistkond
8,8,5,8,6,7,7,7,6,11,male; olümpia; kere; paul; paide; partii; naiskond; treener; võistkond
8,7,6,8,6,7,7,8,6,11,male; olümpia; kere; paul; paide; partii; naiskond; treener; võistkond
8,6,7,7,6,6,9,8,7,11,male; olümpia; kere; paul; paide; partii; naiskond; treener; võistkond
9,5,7,7,6,7,7,9,7,11,male; olümpia; kere; paul; paide; partii; naiskond; treener; võistkond
8,6,8,8,6,6,8,9,7,11,male; olümpia; kere; paul; paide; partii; naiskond; treener; võistkond
8,7,9,7,7,6,7,8,8,11,male; olümpia; kere; paul; paide; partii; naiskond; treener; võistkond
7,6,8,6,7,7,8,9,8,11,male; olümpia; kere; paul; paide; partii; naiskond; treener; võistkond
9,8,8,7,6,8,8,8,7,11,male; kere; olümpia; paul; paide; partii; naiskond; treener; võistkond
8,9,9,8,8,8,8,9,7,11,male; olümpia; kere; paul; paide; partii; naiskond; treener; võistkond
