EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,3,2,4,4,5,4,3,5,13,tants; eesti; följeton; reimann; fuu; prelüüd
6,3,2,4,4,4,4,3,5,13,tants; eesti; följeton; reimann; fuu; prelüüd
6,3,2,4,4,6,4,3,5,13,tants; eesti; följeton; reimann; fuu; prelüüd
6,3,4,4,5,6,4,3,5,13,tants; eesti; följeton; reimann; fuu; prelüüd
6,4,4,4,5,6,4,3,5,13,tants; eesti; följeton; reimann; fuu; prelüüd
5,4,4,4,5,5,4,4,5,13,fuu; tants; eesti; följeton; reimann; prelüüd
4,5,5,5,6,5,4,4,5,13,fuu; eesti; följeton; reimann; prelüüd; tants
3,4,5,6,6,3,4,5,5,13,fuu; följeton; tants; eesti; reimann; prelüüd
3,5,6,6,6,5,4,5,6,13,fuu; eesti; följeton; reimann; prelüüd; tants
3,4,5,5,6,4,4,5,6,13,fuu; följeton; eesti; reimann; prelüüd; tants
3,5,6,5,6,4,4,5,6,13,eesti; följeton; reimann; fuu; prelüüd; tants
