EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,7,4,7,4,7,4,9,5,16,selts; põllumees; ärkamine; baltisakslus; karl; eesti; rahvuslik; koorilaul; kõrber; üldlaulupidu; keel; postimees; jannsen
11,7,4,7,4,7,4,9,5,16,selts; põllumees; ärkamine; baltisakslus; karl; eesti; rahvuslik; koorilaul; kõrber; üldlaulupidu; keel; postimees; jannsen
11,7,6,7,5,7,6,9,5,16,selts; põllumees; ärkamine; baltisakslus; karl; eesti; rahvuslik; koorilaul; kõrber; üldlaulupidu; keel; postimees; jannsen
12,7,8,8,4,8,7,10,5,16,selts; põllumees; ärkamine; baltisakslus; karl; eesti; rahvuslik; koorilaul; kõrber; üldlaulupidu; keel; postimees; jannsen
11,7,11,8,4,8,9,8,5,16,selts; põllumees; ärkamine; baltisakslus; karl; eesti; rahvuslik; koorilaul; kõrber; üldlaulupidu; keel; postimees; jannsen
11,6,11,6,3,8,8,9,5,16,selts; põllumees; ärkamine; baltisakslus; karl; eesti; rahvuslik; koorilaul; kõrber; üldlaulupidu; keel; postimees; jannsen
7,6,13,7,3,8,10,9,6,16,selts; põllumees; baltisakslus; ärkamine; karl; eesti; rahvuslik; koorilaul; kõrber; üldlaulupidu; postimees; keel; jannsen
6,7,11,7,6,8,7,10,5,16,selts; põllumees; ärkamine; baltisakslus; karl; eesti; rahvuslik; koorilaul; üldlaulupidu; kõrber; postimees; keel; jannsen
6,8,11,7,6,10,8,9,6,16,selts; põllumees; ärkamine; baltisakslus; karl; eesti; rahvuslik; koorilaul; kõrber; üldlaulupidu; postimees; keel; jannsen
7,7,11,9,8,8,8,10,6,16,selts; põllumees; ärkamine; baltisakslus; karl; eesti; rahvuslik; koorilaul; üldlaulupidu; kõrber; postimees; keel; jannsen
8,9,12,8,8,8,8,9,6,16,selts; põllumees; ärkamine; baltisakslus; karl; eesti; rahvuslik; koorilaul; üldlaulupidu; kõrber; postimees; keel; jannsen
