EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,9,9,11,6,10,10,11,11,11,lõõtspill; meloodia; maailmasõjajärgne; simman; tants; laulusõna; polk; lõuna-eesti; meelelahutus; pillimäng; tantsima
11,9,9,11,6,11,10,10,11,11,lõõtspill; meloodia; maailmasõjajärgne; simman; tants; laulusõna; polk; lõuna-eesti; meelelahutus; pillimäng; tantsima
11,9,8,11,6,11,10,10,11,11,lõõtspill; meloodia; maailmasõjajärgne; simman; tants; laulusõna; polk; lõuna-eesti; meelelahutus; pillimäng; tantsima
10,9,9,11,6,11,10,10,11,11,lõõtspill; meloodia; maailmasõjajärgne; simman; tants; laulusõna; polk; lõuna-eesti; meelelahutus; pillimäng; tantsima
10,10,9,11,6,11,10,11,11,11,lõõtspill; meloodia; maailmasõjajärgne; simman; tants; laulusõna; polk; lõuna-eesti; meelelahutus; pillimäng; tantsima
10,10,10,11,7,10,10,11,11,11,lõõtspill; meloodia; maailmasõjajärgne; simman; tants; laulusõna; polk; lõuna-eesti; meelelahutus; pillimäng; tantsima
10,10,10,10,8,11,9,11,11,11,lõõtspill; meloodia; maailmasõjajärgne; simman; tants; laulusõna; polk; lõuna-eesti; meelelahutus; pillimäng; tantsima
10,10,11,10,9,11,10,11,11,11,lõõtspill; meloodia; maailmasõjajärgne; simman; tants; laulusõna; polk; lõuna-eesti; meelelahutus; pillimäng; tantsima
10,10,9,11,11,10,9,11,11,11,lõõtspill; meloodia; maailmasõjajärgne; simman; tants; laulusõna; polk; lõuna-eesti; meelelahutus; pillimäng; tantsima
10,11,10,11,11,11,9,11,10,11,lõõtspill; meloodia; maailmasõjajärgne; simman; tants; laulusõna; polk; lõuna-eesti; meelelahutus; pillimäng; tantsima
10,11,10,10,11,11,9,11,10,11,lõõtspill; meloodia; maailmasõjajärgne; simman; tants; laulusõna; polk; lõuna-eesti; meelelahutus; pillimäng; tantsima
