EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,9,9,10,10,7,6,10,7,14,martin; ilmar; uus; maja; kõrvaline; tomusk; tuba; isik; pood; suhkrusaiapidu
10,9,8,10,10,6,7,10,7,14,martin; ilmar; uus; maja; kõrvaline; tomusk; tuba; isik; pood; suhkrusaiapidu
10,9,9,10,10,9,7,10,8,14,martin; ilmar; uus; maja; kõrvaline; tomusk; tuba; isik; pood; suhkrusaiapidu
10,9,9,10,10,9,8,10,8,14,martin; ilmar; uus; maja; kõrvaline; tomusk; tuba; isik; pood; suhkrusaiapidu
10,9,10,10,10,8,10,10,8,14,martin; ilmar; uus; maja; kõrvaline; tomusk; tuba; isik; pood; suhkrusaiapidu
10,9,10,10,10,8,10,10,8,14,martin; ilmar; uus; maja; kõrvaline; tomusk; tuba; isik; pood; suhkrusaiapidu
10,9,10,10,10,10,10,10,8,14,martin; ilmar; uus; maja; kõrvaline; tomusk; isik; tuba; pood; suhkrusaiapidu
10,8,10,10,10,10,10,10,8,14,martin; ilmar; uus; maja; kõrvaline; tomusk; tuba; isik; pood; suhkrusaiapidu
10,9,10,10,10,10,10,10,9,14,martin; ilmar; uus; maja; kõrvaline; tomusk; tuba; isik; pood; suhkrusaiapidu
9,9,10,10,10,10,10,10,8,14,martin; ilmar; uus; maja; kõrvaline; tomusk; isik; tuba; pood; suhkrusaiapidu
9,9,10,9,10,10,10,10,10,14,martin; ilmar; uus; maja; kõrvaline; tomusk; isik; tuba; pood; suhkrusaiapidu
