EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,6,7,4,5,6,6,8,13,surmapate; loomupärane; hüpertroofia; mõõdukus; käegalöömine; kiusatus; kõrkus; enesehinnang; aegunud; tarbijalik
9,10,7,8,4,5,6,7,9,13,surmapate; loomupärane; hüpertroofia; mõõdukus; käegalöömine; kiusatus; kõrkus; enesehinnang; aegunud; tarbijalik
9,10,7,8,4,5,6,7,8,13,surmapate; loomupärane; hüpertroofia; mõõdukus; käegalöömine; kiusatus; kõrkus; enesehinnang; aegunud; tarbijalik
9,8,8,8,4,6,6,7,8,13,käegalöömine; kiusatus; surmapate; kõrkus; loomupärane; hüpertroofia; mõõdukus; enesehinnang; aegunud; tarbijalik
9,9,9,7,4,8,7,8,9,13,surmapate; loomupärane; hüpertroofia; mõõdukus; käegalöömine; kiusatus; kõrkus; enesehinnang; aegunud; tarbijalik
9,9,9,8,4,9,8,9,9,13,surmapate; loomupärane; hüpertroofia; mõõdukus; käegalöömine; kiusatus; kõrkus; enesehinnang; aegunud; tarbijalik
8,7,9,8,4,7,8,9,9,13,surmapate; loomupärane; hüpertroofia; mõõdukus; käegalöömine; kiusatus; kõrkus; enesehinnang; aegunud; tarbijalik
8,7,10,6,5,7,9,8,9,13,surmapate; loomupärane; hüpertroofia; mõõdukus; käegalöömine; kiusatus; kõrkus; enesehinnang; aegunud; tarbijalik
9,7,10,9,5,6,9,8,8,13,surmapate; loomupärane; hüpertroofia; mõõdukus; käegalöömine; kiusatus; kõrkus; enesehinnang; aegunud; tarbijalik
8,8,10,9,6,7,10,9,6,13,surmapate; loomupärane; hüpertroofia; mõõdukus; käegalöömine; kiusatus; kõrkus; enesehinnang; aegunud; tarbijalik
9,8,10,9,7,7,10,8,8,13,surmapate; loomupärane; hüpertroofia; mõõdukus; käegalöömine; kiusatus; kõrkus; enesehinnang; aegunud; tarbijalik
