EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,4,4,6,4,5,5,5,13,liivrand; harry; blair; res; tony; reformierakond; swedbank; kohus; koalitsioon; usa
7,6,3,4,5,4,5,5,4,13,liivrand; harry; blair; res; tony; reformierakond; swedbank; kohus; koalitsioon; usa
7,7,3,5,6,4,5,5,4,13,liivrand; harry; blair; res; tony; reformierakond; swedbank; kohus; koalitsioon; usa
6,7,2,5,6,4,4,6,4,13,liivrand; harry; blair; res; tony; reformierakond; swedbank; kohus; koalitsioon; usa
6,7,4,5,6,5,4,9,4,13,liivrand; reformierakond; blair; kohus; koalitsioon; res; tony; harry; swedbank; usa
6,5,3,5,6,6,6,9,4,13,liivrand; harry; blair; res; tony; reformierakond; swedbank; kohus; koalitsioon; usa
8,5,3,8,8,8,7,8,4,13,liivrand; reformierakond; blair; res; tony; harry; swedbank; kohus; koalitsioon; usa
8,5,6,8,8,8,7,9,6,13,liivrand; reformierakond; blair; kohus; koalitsioon; res; tony; harry; swedbank; usa
8,5,7,9,9,9,9,8,6,13,liivrand; reformierakond; blair; kohus; koalitsioon; res; tony; harry; swedbank; usa
8,6,8,9,9,9,7,9,6,13,liivrand; reformierakond; blair; kohus; koalitsioon; res; tony; harry; swedbank; usa
6,5,9,9,9,8,7,10,8,13,liivrand; reformierakond; blair; kohus; koalitsioon; res; tony; harry; swedbank; usa
