EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,10,9,7,8,10,10,7,10,sihtrühm; fbi; strateegia; viirus; hirm; mõjutamine; küberkurjategija; pettur; enesekindlus; ahnus
9,9,10,9,7,9,10,10,8,10,sihtrühm; fbi; strateegia; viirus; hirm; mõjutamine; küberkurjategija; pettur; enesekindlus; ahnus
10,9,10,9,8,9,10,10,8,10,sihtrühm; fbi; strateegia; viirus; hirm; mõjutamine; küberkurjategija; pettur; enesekindlus; ahnus
10,8,10,9,8,10,10,10,8,10,sihtrühm; fbi; strateegia; viirus; hirm; mõjutamine; küberkurjategija; pettur; enesekindlus; ahnus
10,10,10,9,9,10,10,10,8,10,sihtrühm; fbi; strateegia; viirus; hirm; mõjutamine; küberkurjategija; pettur; enesekindlus; ahnus
10,7,10,8,9,10,10,10,8,10,sihtrühm; fbi; strateegia; viirus; mõjutamine; hirm; küberkurjategija; pettur; enesekindlus; ahnus
10,8,10,9,9,10,10,10,9,10,sihtrühm; fbi; strateegia; viirus; mõjutamine; hirm; küberkurjategija; pettur; enesekindlus; ahnus
10,8,10,9,9,10,10,10,10,10,sihtrühm; fbi; strateegia; viirus; hirm; mõjutamine; küberkurjategija; pettur; enesekindlus; ahnus
9,7,10,10,9,10,10,10,10,10,sihtrühm; fbi; strateegia; viirus; mõjutamine; hirm; küberkurjategija; pettur; enesekindlus; ahnus
8,6,10,9,9,9,10,10,10,10,sihtrühm; fbi; strateegia; viirus; mõjutamine; hirm; küberkurjategija; pettur; enesekindlus; ahnus
8,7,9,9,9,9,10,9,9,10,sihtrühm; fbi; strateegia; viirus; mõjutamine; hirm; küberkurjategija; pettur; enesekindlus; ahnus
