EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,8,7,5,2,7,5,3,5,19,festival; elanikkond; abistamine; usa; mesila; bulgaaria; taal; liit; kreeka; euroopa; rudolf
7,8,8,5,3,7,5,4,5,19,festival; elanikkond; abistamine; usa; mesila; bulgaaria; taal; liit; kreeka; euroopa; rudolf
8,6,8,5,3,7,5,6,5,19,festival; elanikkond; abistamine; usa; mesila; bulgaaria; taal; liit; kreeka; euroopa; rudolf
8,6,8,6,4,9,6,6,5,19,elanikkond; abistamine; usa; taal; kreeka; festival; mesila; bulgaaria; liit; euroopa; rudolf
7,4,6,6,4,9,6,6,5,19,elanikkond; abistamine; usa; taal; kreeka; festival; mesila; bulgaaria; liit; euroopa; rudolf
7,5,7,7,4,8,6,6,5,19,festival; elanikkond; abistamine; kreeka; usa; mesila; bulgaaria; liit; taal; euroopa; rudolf
7,6,8,8,4,8,8,7,5,19,elanikkond; abistamine; usa; taal; kreeka; festival; mesila; bulgaaria; liit; euroopa; rudolf
8,5,9,10,5,7,5,7,4,19,elanikkond; abistamine; usa; taal; kreeka; festival; mesila; bulgaaria; liit; euroopa; rudolf
8,6,5,7,5,8,6,8,4,19,elanikkond; abistamine; usa; taal; kreeka; festival; mesila; bulgaaria; liit; euroopa; rudolf
6,5,7,5,7,7,6,9,4,19,abistamine; elanikkond; usa; taal; kreeka; festival; mesila; bulgaaria; liit; euroopa; rudolf
6,6,7,6,7,7,5,9,3,19,abistamine; elanikkond; usa; taal; kreeka; festival; mesila; bulgaaria; liit; euroopa; rudolf
