EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,10,9,9,8,8,6,9,9,12,väin; õppus; saar; suur; tehnika; lahing; nato; klubi; sõda; britt
9,9,9,9,8,8,7,9,9,12,väin; õppus; saar; suur; tehnika; lahing; nato; klubi; sõda; britt
9,9,9,9,8,8,7,9,9,12,väin; õppus; saar; suur; tehnika; lahing; nato; klubi; sõda; britt
9,9,9,9,8,9,7,9,9,12,väin; õppus; saar; suur; tehnika; lahing; nato; klubi; sõda; britt
10,9,9,9,8,9,9,9,9,12,väin; õppus; saar; suur; tehnika; lahing; nato; klubi; sõda; britt
10,9,10,10,7,9,9,9,9,12,väin; õppus; saar; suur; tehnika; lahing; nato; klubi; sõda; britt
9,9,10,10,9,10,9,10,9,12,väin; õppus; saar; suur; tehnika; lahing; nato; klubi; sõda; britt
9,9,10,9,10,10,9,10,9,12,väin; õppus; saar; suur; tehnika; lahing; nato; klubi; sõda; britt
10,9,10,9,10,10,9,10,9,12,õppus; väin; saar; suur; tehnika; lahing; nato; klubi; sõda; britt
9,9,10,10,10,10,9,10,9,12,väin; õppus; saar; suur; tehnika; lahing; nato; klubi; sõda; britt
9,9,10,10,10,10,9,10,10,12,väin; õppus; saar; suur; tehnika; lahing; nato; klubi; sõda; britt
