EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,10,6,7,6,9,8,7,7,15,lübeck; rõdu; suurgilt; leimus; ekspositsioon; erakogu; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
11,9,7,8,5,8,9,8,8,15,lübeck; rõdu; suurgilt; leimus; ekspositsioon; erakogu; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
11,9,8,9,5,9,9,8,9,15,lübeck; rõdu; suurgilt; leimus; ekspositsioon; erakogu; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
12,7,10,10,5,9,9,8,9,15,lübeck; rõdu; suurgilt; leimus; ekspositsioon; erakogu; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
10,9,8,10,4,8,8,8,9,15,lübeck; rõdu; suurgilt; leimus; ekspositsioon; erakogu; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
10,9,10,8,4,8,6,10,9,15,lübeck; rõdu; suurgilt; leimus; ekspositsioon; erakogu; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
8,9,11,11,6,7,10,11,9,15,lübeck; rõdu; suurgilt; leimus; ekspositsioon; erakogu; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
7,8,8,9,6,8,9,7,8,15,lübeck; rõdu; suurgilt; leimus; ekspositsioon; erakogu; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
9,8,8,9,7,6,8,8,8,15,lübeck; rõdu; suurgilt; leimus; ekspositsioon; erakogu; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
8,7,10,9,6,6,5,8,10,15,lübeck; rõdu; suurgilt; leimus; erakogu; ekspositsioon; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
8,6,7,6,6,7,8,9,9,15,lübeck; rõdu; suurgilt; leimus; erakogu; ekspositsioon; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
