EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,11,8,7,2,7,8,6,7,13,varimajandus; teehooldetöö; kütusemüüja; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
8,11,9,7,3,8,8,7,7,13,varimajandus; teehooldetöö; kütusemüüja; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
8,11,10,7,3,8,8,9,7,13,varimajandus; teehooldetöö; kütusemüüja; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
7,10,10,7,3,8,8,9,7,13,varimajandus; teehooldetöö; kütusemüüja; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
8,10,11,7,3,9,8,9,7,13,varimajandus; teehooldetöö; kütusemüüja; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
8,9,9,8,3,10,8,8,7,13,varimajandus; teehooldetöö; kütusemüüja; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
8,9,9,8,2,9,8,8,7,13,teehooldetöö; varimajandus; kütusemüüja; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
3,7,10,6,3,9,6,7,7,13,varimajandus; teehooldetöö; kütusemüüja; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
3,8,10,7,4,9,8,9,9,13,varimajandus; kütusemüüja; teehooldetöö; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
7,9,10,5,6,8,8,9,9,13,varimajandus; kütusemüüja; teehooldetöö; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
7,8,10,5,6,8,8,6,9,13,varimajandus; kütusemüüja; teehooldetöö; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
