EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,10,10,6,9,9,9,8,12,kaunis; imelaps; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
10,9,9,10,6,9,9,9,8,12,kaunis; imelaps; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
10,9,9,10,6,9,9,9,8,12,kaunis; imelaps; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
11,9,9,10,6,10,9,9,8,12,kaunis; imelaps; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
11,9,10,11,6,10,9,8,8,12,kaunis; imelaps; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
11,9,10,10,8,10,10,10,8,12,kaunis; imelaps; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
11,10,10,11,9,10,10,11,8,12,kaunis; imelaps; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
11,9,11,9,10,11,11,11,8,12,kaunis; imelaps; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
11,10,9,9,9,11,11,11,9,12,kaunis; imelaps; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
11,10,10,9,10,11,10,11,10,12,kaunis; imelaps; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
9,9,9,9,10,11,11,11,8,12,imelaps; kaunis; kunst; kirjandus; kommunism; luuletaja; klassik; kirjutama; iroonia; mati; romaan
