EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,12,12,12,11,9,9,11,12,13,tulekahju; iraan; kana; uus; senjorii; televisioon; aasta; popiidol; üksinda; trump; kodu; jäähoki
12,12,12,12,11,11,9,11,12,13,tulekahju; iraan; kana; uus; senjorii; televisioon; aasta; popiidol; üksinda; trump; kodu; jäähoki
12,12,12,12,11,12,11,12,12,13,tulekahju; iraan; kana; uus; senjorii; televisioon; aasta; popiidol; üksinda; trump; kodu; jäähoki
12,12,12,12,11,12,11,12,12,13,tulekahju; iraan; kana; uus; senjorii; televisioon; aasta; popiidol; üksinda; trump; kodu; jäähoki
12,12,12,12,11,12,12,12,12,13,tulekahju; iraan; kana; uus; senjorii; televisioon; aasta; popiidol; üksinda; trump; kodu; jäähoki
12,11,12,12,12,12,12,12,12,13,tulekahju; iraan; kana; uus; senjorii; televisioon; aasta; popiidol; üksinda; trump; kodu; jäähoki
11,11,12,12,12,12,12,12,12,13,tulekahju; iraan; kana; uus; senjorii; televisioon; aasta; popiidol; üksinda; trump; kodu; jäähoki
12,12,12,12,12,12,12,12,12,13,tulekahju; iraan; kana; uus; senjorii; televisioon; aasta; popiidol; üksinda; trump; kodu; jäähoki
12,12,12,12,12,12,12,12,12,13,tulekahju; iraan; kana; uus; senjorii; televisioon; aasta; popiidol; üksinda; trump; kodu; jäähoki
12,12,12,12,12,12,12,12,12,13,tulekahju; iraan; kana; uus; senjorii; televisioon; aasta; popiidol; üksinda; trump; kodu; jäähoki
12,12,12,12,12,12,12,12,12,13,tulekahju; iraan; kana; uus; senjorii; televisioon; aasta; popiidol; üksinda; trump; kodu; jäähoki
