EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,7,8,8,5,5,4,6,4,13,laps; alver; arseenik; lesk; kool; kurat; bett; mõrane; argus; peegel; rätsep
11,7,9,8,5,6,4,6,4,13,laps; alver; arseenik; lesk; kool; kurat; bett; mõrane; argus; peegel; rätsep
11,7,9,8,5,6,4,6,5,13,laps; alver; arseenik; lesk; kool; kurat; bett; mõrane; argus; peegel; rätsep
11,7,7,7,5,8,5,6,5,13,laps; alver; arseenik; lesk; kool; kurat; bett; mõrane; argus; peegel; rätsep
10,7,7,7,5,8,6,6,6,13,laps; alver; arseenik; lesk; kool; kurat; bett; mõrane; argus; peegel; rätsep
9,7,8,7,5,9,7,8,6,13,laps; alver; arseenik; lesk; kool; kurat; bett; mõrane; argus; peegel; rätsep
6,7,9,3,4,9,8,7,6,13,laps; alver; arseenik; lesk; kool; kurat; bett; mõrane; argus; peegel; rätsep
4,7,10,5,5,9,8,6,5,13,laps; alver; arseenik; lesk; kool; kurat; bett; mõrane; argus; peegel; rätsep
3,7,7,4,4,8,10,7,6,13,laps; alver; arseenik; lesk; kool; kurat; bett; mõrane; argus; peegel; rätsep
3,7,10,5,4,8,8,7,6,13,laps; alver; arseenik; lesk; kool; kurat; bett; mõrane; argus; peegel; rätsep
3,6,10,5,5,8,6,4,7,13,laps; alver; arseenik; lesk; kool; kurat; bett; mõrane; argus; peegel; rätsep
