EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,5,2,1,4,4,1,3,12,majandus; gaudeamus; afganistan; inflatsioon; eesti; euro
4,3,4,2,1,4,4,2,3,12,majandus; gaudeamus; afganistan; inflatsioon; eesti; euro
4,3,4,2,1,4,4,3,3,12,majandus; gaudeamus; afganistan; inflatsioon; eesti; euro
4,3,4,2,1,4,4,3,3,12,majandus; gaudeamus; afganistan; inflatsioon; eesti; euro
4,3,6,4,2,5,4,4,3,12,majandus; gaudeamus; afganistan; inflatsioon; eesti; euro
5,4,6,4,2,5,4,4,3,12,majandus; gaudeamus; afganistan; inflatsioon; eesti; euro
5,5,6,5,4,6,5,4,3,12,majandus; gaudeamus; afganistan; inflatsioon; eesti; euro
4,5,6,6,4,6,6,5,3,12,majandus; gaudeamus; afganistan; inflatsioon; eesti; euro
4,5,5,6,4,6,6,6,3,12,majandus; gaudeamus; afganistan; inflatsioon; eesti; euro
4,4,5,6,5,5,5,6,4,12,majandus; gaudeamus; afganistan; inflatsioon; eesti; euro
4,5,5,5,5,5,5,6,4,12,majandus; gaudeamus; afganistan; inflatsioon; eesti; euro
