EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,5,5,3,3,2,4,4,13,rektor; sidejaoskond; arenduskeskus; ülikool; majandusjuht; perekond; concordia; kolu; mõisaproua; mõis; kursus
7,8,4,5,3,4,2,4,5,13,rektor; mõisaproua; sidejaoskond; arenduskeskus; ülikool; majandusjuht; mõis; perekond; kursus; concordia; kolu
7,8,6,5,3,4,4,4,5,13,rektor; mõisaproua; sidejaoskond; arenduskeskus; ülikool; majandusjuht; mõis; perekond; kursus; concordia; kolu
7,8,6,5,3,5,4,4,5,13,rektor; mõisaproua; sidejaoskond; arenduskeskus; ülikool; majandusjuht; mõis; perekond; kursus; concordia; kolu
8,9,5,6,4,5,5,3,5,13,rektor; mõisaproua; sidejaoskond; arenduskeskus; ülikool; majandusjuht; mõis; perekond; kursus; concordia; kolu
9,8,6,9,4,6,5,3,5,13,rektor; sidejaoskond; arenduskeskus; ülikool; majandusjuht; perekond; concordia; kolu; mõisaproua; mõis; kursus
6,4,8,10,4,4,3,5,6,13,rektor; sidejaoskond; arenduskeskus; ülikool; majandusjuht; perekond; concordia; kolu; mõisaproua; mõis; kursus
7,6,9,8,4,5,6,8,7,13,rektor; sidejaoskond; arenduskeskus; majandusjuht; ülikool; perekond; concordia; kolu; mõisaproua; mõis; kursus
9,5,8,7,5,5,8,8,7,13,rektor; sidejaoskond; arenduskeskus; majandusjuht; ülikool; perekond; concordia; kolu; mõisaproua; mõis; kursus
7,7,9,7,8,7,8,7,6,13,rektor; sidejaoskond; arenduskeskus; majandusjuht; ülikool; perekond; concordia; kolu; mõisaproua; mõis; kursus
6,7,8,7,5,9,10,7,6,13,rektor; sidejaoskond; arenduskeskus; majandusjuht; ülikool; perekond; concordia; kolu; mõisaproua; mõis; kursus
