EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,5,6,8,6,6,6,8,13,ants; riidaja; marika; taul; koolitus; soots; konkurent; mõis
6,6,6,7,8,6,6,6,8,13,ants; riidaja; marika; taul; koolitus; soots; konkurent; mõis
6,6,6,7,8,6,6,6,8,13,ants; riidaja; marika; taul; koolitus; soots; konkurent; mõis
6,6,7,7,7,6,6,6,8,13,ants; riidaja; marika; taul; koolitus; soots; konkurent; mõis
6,6,7,7,7,6,6,6,8,13,ants; riidaja; marika; taul; koolitus; soots; konkurent; mõis
6,6,7,7,7,7,7,8,8,13,ants; riidaja; marika; taul; koolitus; soots; konkurent; mõis
6,7,8,8,6,6,8,8,7,13,ants; riidaja; marika; taul; koolitus; soots; konkurent; mõis
6,7,8,8,6,6,8,8,7,13,ants; riidaja; marika; taul; koolitus; soots; konkurent; mõis
7,7,8,7,6,7,8,8,7,13,ants; riidaja; marika; taul; koolitus; soots; konkurent; mõis
7,7,8,7,7,7,8,8,7,13,ants; riidaja; marika; taul; koolitus; soots; konkurent; mõis
7,7,8,7,7,7,7,8,7,13,ants; riidaja; marika; taul; koolitus; soots; konkurent; mõis
