EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,9,8,8,11,6,9,10,7,11,leping; trahv; andmed; suhkrutrahv; karistus; ettevõte; aktsia; facebook; börs; kuritarvitamine; skandaal
10,9,8,8,11,6,10,10,7,11,leping; trahv; andmed; suhkrutrahv; karistus; ettevõte; aktsia; facebook; börs; kuritarvitamine; skandaal
10,9,9,8,11,8,10,11,7,11,leping; trahv; andmed; suhkrutrahv; karistus; ettevõte; aktsia; facebook; börs; kuritarvitamine; skandaal
10,9,11,8,11,9,10,11,7,11,leping; trahv; andmed; suhkrutrahv; karistus; ettevõte; aktsia; facebook; börs; kuritarvitamine; skandaal
10,9,11,9,10,9,10,11,7,11,leping; trahv; andmed; suhkrutrahv; karistus; ettevõte; aktsia; facebook; börs; kuritarvitamine; skandaal
10,9,11,9,9,11,11,11,7,11,leping; trahv; andmed; suhkrutrahv; karistus; ettevõte; aktsia; facebook; börs; kuritarvitamine; skandaal
9,7,11,9,9,10,11,11,7,11,leping; trahv; andmed; suhkrutrahv; karistus; ettevõte; aktsia; facebook; börs; kuritarvitamine; skandaal
9,7,10,9,9,10,11,11,7,11,leping; trahv; andmed; suhkrutrahv; karistus; ettevõte; aktsia; facebook; börs; kuritarvitamine; skandaal
9,7,10,9,10,10,11,11,7,11,leping; trahv; andmed; suhkrutrahv; karistus; ettevõte; aktsia; börs; facebook; kuritarvitamine; skandaal
10,7,10,11,9,10,11,11,8,11,leping; trahv; andmed; suhkrutrahv; karistus; ettevõte; aktsia; facebook; börs; kuritarvitamine; skandaal
10,8,10,11,10,9,11,11,10,11,leping; trahv; andmed; suhkrutrahv; karistus; ettevõte; aktsia; börs; facebook; kuritarvitamine; skandaal
