EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,4,3,3,3,5,4,5,5,12,tammer; loop; playboy; laulasmaa; austraalia; muusika; habe; abikaasa; unu; triatlon
7,4,3,3,3,5,4,6,5,12,tammer; loop; playboy; laulasmaa; austraalia; muusika; habe; abikaasa; unu; triatlon
7,5,3,3,4,5,4,5,5,12,tammer; loop; playboy; laulasmaa; austraalia; muusika; habe; abikaasa; unu; triatlon
7,5,4,3,5,5,3,5,5,12,tammer; loop; playboy; laulasmaa; austraalia; muusika; habe; abikaasa; unu; triatlon
6,5,5,4,5,5,3,5,5,12,tammer; loop; playboy; laulasmaa; austraalia; muusika; habe; abikaasa; unu; triatlon
7,5,6,3,6,6,5,6,5,12,tammer; loop; playboy; laulasmaa; muusika; austraalia; habe; abikaasa; unu; triatlon
5,5,7,7,6,7,5,4,6,12,tammer; loop; playboy; laulasmaa; muusika; austraalia; habe; abikaasa; unu; triatlon
6,6,5,7,7,6,5,4,6,12,tammer; loop; playboy; laulasmaa; austraalia; muusika; abikaasa; habe; unu; triatlon
6,5,7,6,7,6,5,5,7,12,tammer; loop; playboy; laulasmaa; muusika; austraalia; habe; abikaasa; unu; triatlon
5,7,7,6,7,5,6,7,4,12,tammer; loop; playboy; laulasmaa; muusika; abikaasa; austraalia; habe; unu; triatlon
6,5,5,6,7,5,6,7,5,12,tammer; loop; playboy; laulasmaa; austraalia; muusika; abikaasa; habe; unu; triatlon
