EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,4,1,2,3,1,3,6,11,film; teater; moskva; kunst; nõukogu; suitsetamine; kongress; liit; usa
4,6,3,2,2,3,1,3,5,11,film; moskva; liit; nõukogu; suitsetamine; kongress; teater; usa
4,5,3,2,2,4,2,3,5,11,film; moskva; liit; nõukogu; suitsetamine; kongress; teater; usa
6,6,3,2,3,5,3,3,5,11,film; moskva; kunst; kalev; liit; nõukogu; suitsetamine; kongress; teater; usa
6,5,4,4,3,5,4,4,5,11,film; moskva; kunst; kalev; liit; nõukogu; suitsetamine; kongress; teater; usa
7,6,4,4,3,5,4,4,5,11,film; teater; moskva; kunst; kalev; nõukogu; suitsetamine; kongress; liit; usa
7,4,4,6,4,6,3,4,4,11,film; teater; moskva; kunst; kalev; nõukogu; suitsetamine; kongress; liit; usa
7,4,3,9,4,4,5,4,4,11,film; teater; moskva; kunst; kalev; nõukogu; suitsetamine; kongress; liit; usa
6,5,5,8,5,3,5,6,4,11,film; teater; moskva; kunst; kalev; nõukogu; suitsetamine; kongress; liit; usa
3,7,4,7,7,4,4,7,4,11,film; teater; moskva; kunst; kalev; nõukogu; suitsetamine; kongress; liit; usa
4,5,1,7,8,6,4,6,4,11,film; teater; moskva; kunst; kalev; nõukogu; suitsetamine; kongress; liit; usa
