EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,6,4,9,4,9,6,4,16,nsv; levimuusika; dylan; oit; kosmonaut; liit; biitel; bob; john; kennedy; aarne; olümpiamängud; usa
8,9,5,6,9,5,9,7,4,16,nsv; levimuusika; dylan; oit; kosmonaut; liit; biitel; bob; john; kennedy; aarne; olümpiamängud; usa
8,9,6,5,10,6,9,7,4,16,nsv; levimuusika; dylan; oit; kosmonaut; liit; biitel; bob; john; kennedy; aarne; olümpiamängud; usa
7,8,6,6,9,7,8,7,5,16,nsv; levimuusika; dylan; oit; kosmonaut; liit; biitel; bob; john; kennedy; aarne; olümpiamängud; usa
7,7,6,4,8,9,10,6,6,16,nsv; levimuusika; dylan; oit; kosmonaut; liit; biitel; bob; john; kennedy; aarne; olümpiamängud; usa
5,7,7,6,8,10,9,6,6,16,nsv; levimuusika; dylan; kosmonaut; liit; biitel; bob; john; kennedy; aarne; olümpiamängud; usa
7,6,7,6,8,9,9,8,8,16,nsv; levimuusika; dylan; kosmonaut; liit; biitel; bob; john; kennedy; aarne; olümpiamängud; usa
7,7,8,6,10,9,8,8,5,16,nsv; levimuusika; dylan; kosmonaut; liit; biitel; bob; john; kennedy; aarne; olümpiamängud; usa
5,6,10,7,9,7,9,9,4,16,nsv; levimuusika; dylan; kosmonaut; liit; biitel; bob; john; kennedy; aarne; olümpiamängud; usa
5,6,10,7,12,8,8,10,4,16,nsv; levimuusika; dylan; kosmonaut; liit; biitel; bob; john; kennedy; aarne; olümpiamängud; usa
5,7,10,7,9,8,8,8,4,16,nsv; levimuusika; dylan; kosmonaut; liit; biitel; bob; john; kennedy; aarne; olümpiamängud; usa
