EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,0,4,5,3,4,4,5,14,bismarck; müür; wilhelm; von; otto; kurferstendam; brandenburg; friedrich; monumentalism; berliin
8,6,0,5,5,3,4,4,5,14,bismarck; müür; wilhelm; von; otto; kurferstendam; brandenburg; friedrich; monumentalism; berliin
9,6,1,5,6,6,5,4,5,14,bismarck; müür; wilhelm; von; otto; kurferstendam; brandenburg; friedrich; monumentalism; berliin
9,6,3,5,7,7,5,4,5,14,bismarck; müür; wilhelm; von; otto; kurferstendam; brandenburg; friedrich; monumentalism; berliin
8,6,4,5,8,7,6,6,5,14,bismarck; müür; wilhelm; von; otto; kurferstendam; brandenburg; friedrich; monumentalism; berliin
8,6,6,6,8,8,5,6,5,14,bismarck; müür; wilhelm; von; otto; kurferstendam; brandenburg; friedrich; monumentalism; berliin
6,6,6,6,8,6,6,5,6,14,bismarck; müür; wilhelm; von; otto; kurferstendam; brandenburg; friedrich; monumentalism; berliin
5,7,7,6,8,4,7,5,5,14,bismarck; müür; wilhelm; von; otto; kurferstendam; brandenburg; friedrich; monumentalism; berliin
5,7,7,6,8,6,7,5,6,14,bismarck; müür; wilhelm; von; otto; kurferstendam; brandenburg; friedrich; monumentalism; berliin
5,7,9,7,8,4,5,6,6,14,bismarck; müür; wilhelm; von; otto; kurferstendam; brandenburg; friedrich; monumentalism; berliin
5,6,8,7,7,6,6,7,4,14,bismarck; müür; wilhelm; von; otto; kurferstendam; brandenburg; friedrich; monumentalism; berliin
