EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,3,4,2,2,2,3,4,15,muuseum; aasta; gruusia; laidoner; keedus; sulev
5,4,3,4,2,3,2,4,4,15,muuseum; aasta; gruusia; laidoner; keedus; sulev
5,4,3,5,2,2,2,4,4,15,muuseum; aasta; gruusia; laidoner; keedus; sulev
5,4,4,5,2,2,2,4,4,15,muuseum; aasta; gruusia; laidoner; keedus; sulev
4,4,5,5,2,2,2,4,4,15,muuseum; aasta; gruusia; laidoner; keedus; sulev
3,4,5,5,2,2,3,3,4,15,muuseum; aasta; gruusia; laidoner; keedus; sulev
2,3,5,5,3,3,3,3,4,15,muuseum; aasta; gruusia; laidoner; keedus; sulev
4,3,4,5,3,2,4,4,3,15,muuseum; aasta; gruusia; laidoner; keedus; sulev
3,5,5,5,3,3,4,5,4,15,muuseum; aasta; gruusia; laidoner; keedus; sulev
4,4,5,5,3,3,4,4,4,15,muuseum; aasta; gruusia; laidoner; keedus; sulev
4,4,6,5,3,3,3,4,4,15,muuseum; aasta; gruusia; laidoner; keedus; sulev
