EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,3,2,1,1,1,2,2,2,10,laps; toetama; kontsertorkester
0,3,2,1,1,1,2,2,2,10,laps; toetama; kontsertorkester
1,3,2,1,2,1,2,2,2,10,laps; toetama; kontsertorkester
1,3,2,1,2,1,2,2,2,10,laps; toetama; kontsertorkester
1,3,2,1,2,1,2,3,2,10,laps; toetama; kontsertorkester
1,3,3,2,2,3,2,3,2,10,laps; toetama; kontsertorkester
2,3,3,2,2,3,3,2,2,10,laps; toetama; kontsertorkester
2,3,3,3,2,3,1,2,1,10,laps; toetama; kontsertorkester
2,2,3,3,2,2,2,2,1,10,laps; toetama; kontsertorkester
2,1,2,3,2,2,2,2,1,10,laps; toetama; kontsertorkester
2,2,2,3,2,2,2,2,1,10,laps; toetama; kontsertorkester
