EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
13,13,14,14,14,13,11,14,13,14,dvd-plaat; telejaam; port; kommentaar; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
13,14,14,14,14,13,11,14,13,14,dvd-plaat; telejaam; port; kommentaar; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
13,14,14,14,14,13,12,14,13,14,dvd-plaat; telejaam; port; kommentaar; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
13,14,14,13,14,14,13,14,13,14,dvd-plaat; telejaam; port; kommentaar; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
14,14,14,13,13,14,13,14,13,14,dvd-plaat; telejaam; port; kommentaar; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
14,14,14,13,13,14,14,14,13,14,dvd-plaat; telejaam; port; kommentaar; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
14,14,14,13,13,14,14,14,13,14,dvd-plaat; telejaam; port; kommentaar; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
14,14,14,14,13,14,14,14,13,14,dvd-plaat; telejaam; port; kommentaar; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
14,14,14,13,13,14,14,14,13,14,dvd-plaat; telejaam; port; kommentaar; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
14,14,14,14,13,14,14,14,13,14,dvd-plaat; telejaam; port; kommentaar; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
14,14,14,14,14,14,14,14,13,14,dvd-plaat; telejaam; port; kommentaar; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
