EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,3,3,1,1,0,3,4,14,porto; portugal; madeira; bassein; mägi; loodus; kalju
5,5,3,3,1,1,1,4,4,14,porto; portugal; madeira; bassein; mägi; loodus; kalju
5,5,3,3,1,1,1,4,4,14,porto; portugal; madeira; bassein; mägi; loodus; kalju
6,5,3,3,3,1,3,4,4,14,porto; portugal; madeira; bassein; mägi; loodus; kalju
6,4,3,4,3,3,4,4,4,14,porto; portugal; madeira; bassein; mägi; loodus; kalju
5,4,4,4,4,4,4,4,4,14,porto; portugal; madeira; bassein; mägi; loodus; kalju
2,3,5,3,5,5,4,4,4,14,porto; portugal; madeira; bassein; mägi; loodus; kalju
3,4,6,5,5,5,4,5,4,14,porto; portugal; madeira; bassein; mägi; loodus; kalju
4,5,5,5,5,5,3,5,5,14,porto; portugal; madeira; bassein; mägi; loodus; kalju
3,6,5,5,5,5,3,6,4,14,porto; portugal; madeira; bassein; mägi; loodus; kalju
3,5,5,5,5,5,3,5,5,14,porto; portugal; madeira; bassein; mägi; loodus; kalju
