EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,12,12,12,12,12,12,12,12,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
12,12,12,12,12,12,12,12,12,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
12,12,12,12,12,12,12,12,12,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
12,12,12,12,12,12,12,12,12,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
12,12,12,12,12,12,12,12,12,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
12,12,12,12,12,12,12,12,12,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
12,12,12,12,12,12,12,12,12,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
12,12,12,12,12,12,12,12,12,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
12,12,12,12,12,12,12,12,12,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
12,12,12,12,12,12,12,12,12,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
12,12,12,12,12,12,12,12,12,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
