EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,8,9,7,8,9,9,7,12,eero; juubel; hääl; raadio; sepling; ferdinand; veike; buratino; televisioon
8,9,7,9,7,8,9,9,7,12,eero; juubel; hääl; raadio; sepling; ferdinand; veike; buratino; televisioon
8,9,7,9,8,7,9,9,7,12,eero; juubel; hääl; raadio; sepling; ferdinand; veike; buratino; televisioon
8,9,6,9,8,7,8,9,7,12,eero; juubel; hääl; raadio; sepling; ferdinand; veike; buratino; televisioon
9,9,7,9,8,8,9,9,7,12,eero; juubel; hääl; raadio; sepling; ferdinand; veike; buratino; televisioon
9,9,7,9,8,8,8,9,6,12,eero; juubel; hääl; raadio; sepling; ferdinand; veike; buratino; televisioon
8,9,7,8,8,8,8,8,7,12,eero; juubel; hääl; raadio; sepling; veike; ferdinand; buratino; televisioon
7,9,8,8,8,8,8,8,8,12,sepling; veike; eero; juubel; hääl; raadio; ferdinand; buratino; televisioon
4,9,8,8,8,8,7,7,9,12,eero; juubel; hääl; raadio; sepling; buratino; veike; ferdinand; televisioon
5,9,8,7,8,8,7,8,9,12,eero; juubel; hääl; raadio; sepling; veike; buratino; ferdinand; televisioon
5,9,8,7,8,7,7,7,9,12,eero; juubel; hääl; raadio; sepling; buratino; veike; ferdinand; televisioon
