EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,8,7,8,1,7,6,7,6,12,rahulolu; gazprom; keskkonnarikkumine; enn; kultuurisõber; kunila; klaasikunstnik; kreeka; euroopa; baltika; liit
4,7,7,8,1,8,7,7,6,12,keskkonnarikkumine; klaasikunstnik; kreeka; euroopa; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
4,7,7,8,1,8,7,8,6,12,keskkonnarikkumine; klaasikunstnik; kreeka; euroopa; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
5,9,8,8,2,8,8,9,6,12,keskkonnarikkumine; klaasikunstnik; euroopa; kreeka; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
8,9,8,8,2,5,8,9,6,12,keskkonnarikkumine; klaasikunstnik; euroopa; kreeka; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
8,8,7,7,2,8,7,10,6,12,keskkonnarikkumine; klaasikunstnik; kreeka; euroopa; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
8,7,10,8,4,7,6,10,6,12,keskkonnarikkumine; klaasikunstnik; kreeka; euroopa; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
7,5,8,9,4,7,8,9,6,12,keskkonnarikkumine; klaasikunstnik; euroopa; kreeka; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
9,8,10,8,8,6,7,8,6,12,keskkonnarikkumine; klaasikunstnik; kreeka; euroopa; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
6,8,9,8,7,8,9,8,6,12,keskkonnarikkumine; klaasikunstnik; euroopa; kreeka; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
8,7,9,6,8,6,6,8,7,12,keskkonnarikkumine; klaasikunstnik; euroopa; kreeka; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
