EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,8,6,6,7,10,8,6,13,tsensuur; elken; kunstimaailm; kunst; formaat; näitus; meedia; eesti; marco; kunstiakadeemia; jaan
6,6,8,6,6,7,10,9,6,13,tsensuur; elken; kunstimaailm; kunst; formaat; näitus; meedia; eesti; marco; kunstiakadeemia; jaan
6,7,8,6,6,7,10,9,6,13,tsensuur; elken; kunstimaailm; kunst; formaat; näitus; meedia; eesti; marco; kunstiakadeemia; jaan
7,8,6,7,6,7,9,10,6,13,tsensuur; elken; kunstimaailm; kunst; formaat; näitus; meedia; eesti; marco; kunstiakadeemia; jaan
7,8,9,6,6,10,10,10,7,13,tsensuur; elken; kunstimaailm; kunst; formaat; näitus; meedia; eesti; marco; kunstiakadeemia; jaan
7,8,11,8,8,8,8,8,7,13,tsensuur; elken; kunstimaailm; kunst; näitus; formaat; meedia; eesti; marco; kunstiakadeemia; jaan
10,8,8,10,6,8,3,11,7,13,tsensuur; elken; kunstimaailm; kunst; formaat; näitus; meedia; eesti; marco; kunstiakadeemia; jaan
6,9,8,8,6,10,6,8,7,13,tsensuur; elken; kunstimaailm; kunst; formaat; näitus; meedia; eesti; marco; kunstiakadeemia; jaan
4,9,9,9,6,8,4,9,8,13,tsensuur; elken; kunstimaailm; kunst; näitus; formaat; meedia; eesti; marco; kunstiakadeemia; jaan
5,10,6,8,7,8,4,8,8,13,tsensuur; elken; kunstimaailm; kunst; näitus; formaat; meedia; eesti; marco; kunstiakadeemia; jaan
6,9,9,8,7,11,5,9,8,13,tsensuur; elken; kunstimaailm; kunst; näitus; formaat; meedia; eesti; marco; kunstiakadeemia; jaan
