EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,10,7,11,7,7,9,8,9,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; rahvatants; kultuuriseminar; juur; väliseestlane; arrak
11,10,8,11,7,7,9,8,9,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; rahvatants; kultuuriseminar; juur; väliseestlane; arrak
11,10,9,11,7,7,9,8,9,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; rahvatants; kultuuriseminar; juur; väliseestlane; arrak
11,10,8,11,7,10,9,9,9,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; rahvatants; kultuuriseminar; juur; väliseestlane; arrak
10,10,8,11,7,9,10,9,9,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; rahvatants; kultuuriseminar; juur; väliseestlane; arrak
10,10,10,11,7,11,10,9,9,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; rahvatants; kultuuriseminar; juur; väliseestlane; arrak
10,10,11,10,6,10,10,9,9,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; rahvatants; kultuuriseminar; juur; väliseestlane; arrak
10,10,10,11,7,10,10,10,8,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; kultuuriseminar; rahvatants; juur; väliseestlane; arrak
10,10,10,8,6,9,9,10,9,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; rahvatants; kultuuriseminar; juur; väliseestlane; arrak
8,10,10,9,7,9,10,11,9,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; kultuuriseminar; rahvatants; juur; väliseestlane; arrak
8,10,10,9,9,8,10,11,9,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; kultuuriseminar; rahvatants; juur; väliseestlane; arrak
