EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,6,8,8,5,7,7,8,8,10,äri; ameerika; tähendus; sport; show; meedia; võitlus; euroopa
8,6,8,8,5,7,7,8,8,10,äri; ameerika; tähendus; sport; show; meedia; võitlus; euroopa
8,6,8,8,5,7,7,8,8,10,äri; ameerika; tähendus; sport; show; meedia; võitlus; euroopa
8,6,8,8,5,7,7,8,8,10,äri; ameerika; tähendus; sport; show; meedia; võitlus; euroopa
8,6,8,8,5,8,7,8,7,10,äri; ameerika; tähendus; sport; show; meedia; võitlus; euroopa
8,6,8,8,7,7,8,8,7,10,äri; ameerika; tähendus; sport; show; meedia; võitlus; euroopa
8,6,8,8,8,8,8,8,7,10,äri; ameerika; tähendus; sport; show; meedia; võitlus; euroopa
8,6,8,8,7,8,8,8,7,10,äri; ameerika; tähendus; sport; show; meedia; võitlus; euroopa
8,6,8,8,7,8,8,8,6,10,äri; ameerika; tähendus; show; sport; meedia; võitlus; euroopa
8,6,8,8,7,8,8,8,6,10,äri; ameerika; tähendus; show; sport; meedia; võitlus; euroopa
8,5,8,8,7,8,8,8,7,10,äri; ameerika; tähendus; show; sport; meedia; võitlus; euroopa
