EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,4,6,5,4,5,5,5,2,13,sobak; kristi; kreeka; idamurderaamat; jüri; tööjõupuudus
6,4,6,5,4,5,5,5,2,13,sobak; kristi; kreeka; idamurderaamat; jüri; tööjõupuudus
5,4,5,5,4,5,5,5,2,13,sobak; kristi; kreeka; idamurderaamat; jüri; tööjõupuudus
5,5,5,5,5,5,5,6,2,13,sobak; kristi; kreeka; idamurderaamat; jüri; tööjõupuudus
6,5,4,6,5,5,5,6,2,13,sobak; kristi; kreeka; idamurderaamat; jüri; tööjõupuudus
6,5,5,6,5,3,5,6,2,13,sobak; kristi; kreeka; idamurderaamat; jüri; tööjõupuudus
2,5,6,5,5,3,6,6,2,13,sobak; kristi; kreeka; idamurderaamat; jüri; tööjõupuudus
2,4,6,2,5,5,3,5,2,13,sobak; kristi; kreeka; idamurderaamat; jüri; tööjõupuudus
2,4,5,2,5,3,3,6,2,13,sobak; kristi; idamurderaamat; jüri; tööjõupuudus; kreeka
2,4,6,2,5,4,5,5,2,13,sobak; kristi; idamurderaamat; jüri; tööjõupuudus; kreeka
2,4,5,2,4,3,4,4,4,13,sobak; kristi; idamurderaamat; jüri; tööjõupuudus; kreeka
