EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,8,11,7,7,5,9,7,5,17,steiner; presidendivalimised; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; festival; vare; kliimamuudatused; venemaa; pärimusmuusika; muinaslaev; kai
12,9,11,8,7,6,10,8,5,17,steiner; presidendivalimised; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; festival; vare; kliimamuudatused; venemaa; pärimusmuusika; muinaslaev; kai
12,9,12,8,9,6,11,8,5,17,steiner; presidendivalimised; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; festival; vare; kliimamuudatused; venemaa; pärimusmuusika; muinaslaev; kai
12,9,14,10,9,8,10,8,5,17,steiner; presidendivalimised; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; festival; vare; kliimamuudatused; venemaa; pärimusmuusika; muinaslaev; kai
12,8,11,11,8,9,10,8,5,17,steiner; presidendivalimised; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; festival; vare; kliimamuudatused; venemaa; pärimusmuusika; muinaslaev; kai
6,7,13,12,8,9,8,8,7,17,steiner; presidendivalimised; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; festival; vare; kliimamuudatused; venemaa; pärimusmuusika; muinaslaev; kai
6,5,12,12,10,9,8,8,7,17,steiner; presidendivalimised; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; festival; vare; kliimamuudatused; venemaa; pärimusmuusika; muinaslaev; kai
7,7,11,12,12,7,9,8,6,17,steiner; presidendivalimised; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; festival; vare; kliimamuudatused; venemaa; pärimusmuusika; muinaslaev; kai
8,7,10,11,12,9,6,10,6,17,steiner; presidendivalimised; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; festival; vare; kliimamuudatused; venemaa; pärimusmuusika; muinaslaev; kai
7,9,11,10,12,6,6,12,7,17,steiner; presidendivalimised; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; festival; vare; kliimamuudatused; venemaa; pärimusmuusika; muinaslaev; kai
7,8,11,10,11,9,5,8,9,17,steiner; presidendivalimised; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; festival; vare; kliimamuudatused; venemaa; pärimusmuusika; muinaslaev; kai
