EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,11,5,6,7,7,4,10,7,13,erik; intervjuu; parmupill; morna; kristo; festival; eurosonic; artist; rajasaare; jaan; bänd; meister
9,9,6,6,7,7,3,10,7,13,erik; intervjuu; parmupill; morna; kristo; festival; eurosonic; artist; rajasaare; jaan; bänd; meister
9,9,6,6,7,8,3,10,7,13,erik; intervjuu; parmupill; morna; kristo; festival; eurosonic; artist; rajasaare; jaan; bänd; meister
9,9,7,7,7,9,3,11,7,13,erik; intervjuu; parmupill; morna; kristo; festival; eurosonic; artist; rajasaare; jaan; bänd; meister
8,9,9,7,7,10,3,11,7,13,erik; intervjuu; parmupill; morna; kristo; festival; eurosonic; artist; rajasaare; jaan; bänd; meister
7,9,9,6,9,8,3,11,7,13,erik; intervjuu; parmupill; morna; kristo; festival; eurosonic; artist; rajasaare; jaan; bänd; meister
8,9,9,4,9,9,4,9,8,13,erik; intervjuu; parmupill; morna; kristo; festival; eurosonic; artist; rajasaare; jaan; bänd; meister
10,7,9,4,9,8,7,9,7,13,erik; intervjuu; parmupill; morna; kristo; festival; eurosonic; artist; rajasaare; jaan; meister; bänd
8,5,11,4,7,8,6,9,9,13,erik; intervjuu; parmupill; morna; kristo; festival; eurosonic; artist; rajasaare; jaan; meister; bänd
9,6,9,5,10,9,6,10,8,13,erik; intervjuu; parmupill; morna; kristo; festival; eurosonic; artist; rajasaare; jaan; meister; bänd
9,5,10,5,7,10,5,9,8,13,erik; intervjuu; parmupill; morna; kristo; festival; eurosonic; artist; rajasaare; jaan; meister; bänd
