EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,8,6,9,8,8,8,8,12,soome; margo; eesti; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
9,9,8,6,9,8,8,8,8,12,soome; margo; eesti; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
9,9,8,6,9,8,8,8,8,12,soome; margo; eesti; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
9,9,8,6,9,8,8,8,8,12,soome; margo; eesti; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
9,9,9,6,9,8,8,8,8,12,soome; margo; eesti; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
9,9,9,7,9,8,9,8,8,12,soome; margo; eesti; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
9,9,9,8,9,9,9,8,8,12,soome; eesti; margo; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
9,9,9,9,8,9,9,9,8,12,soome; eesti; margo; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
7,9,9,9,9,9,9,9,9,12,soome; birgit; uusorg; margo; eesti; vesi; võistlus; naisekandmine; ulrich
7,9,9,9,9,9,8,9,9,12,soome; birgit; uusorg; margo; eesti; vesi; võistlus; naisekandmine; ulrich
6,9,9,9,9,9,9,8,9,12,margo; soome; eesti; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
