EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,10,10,10,10,10,10,10,14,senjoriita; televisiooni; kasekamp; hääl; andres; kanada; donald; aasta; trump; jäähoki
10,10,10,10,10,10,10,10,10,14,senjoriita; televisiooni; kasekamp; hääl; andres; kanada; donald; aasta; trump; jäähoki
10,10,10,10,10,10,10,10,10,14,senjoriita; televisiooni; kasekamp; hääl; andres; kanada; donald; aasta; trump; jäähoki
10,10,10,10,10,10,10,10,10,14,senjoriita; televisiooni; kasekamp; hääl; andres; kanada; donald; aasta; trump; jäähoki
10,10,10,10,10,10,10,10,10,14,senjoriita; televisiooni; kasekamp; hääl; andres; kanada; donald; aasta; trump; jäähoki
10,10,10,10,10,10,10,10,10,14,senjoriita; televisiooni; kasekamp; hääl; andres; kanada; donald; aasta; trump; jäähoki
10,10,10,10,10,10,10,10,10,14,senjoriita; televisiooni; kasekamp; hääl; andres; kanada; donald; aasta; trump; jäähoki
10,10,10,10,10,10,10,10,10,14,senjoriita; televisiooni; kasekamp; hääl; andres; kanada; donald; aasta; trump; jäähoki
10,9,10,10,10,10,10,10,10,14,senjoriita; televisiooni; kasekamp; hääl; andres; kanada; donald; aasta; trump; jäähoki
10,10,10,10,10,10,10,10,10,14,senjoriita; televisiooni; kasekamp; hääl; andres; kanada; donald; aasta; trump; jäähoki
10,10,10,10,10,10,10,10,10,14,senjoriita; televisiooni; kasekamp; hääl; andres; kanada; donald; aasta; trump; jäähoki
