EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,5,4,4,3,3,5,5,11,epideemia; kuritegevus; port; kristjan; sihtrühm
5,5,5,4,4,3,3,5,5,11,epideemia; kuritegevus; port; kristjan; sihtrühm
5,5,5,4,4,3,3,5,5,11,epideemia; kuritegevus; port; kristjan; sihtrühm
5,5,5,4,4,3,3,5,5,11,epideemia; kuritegevus; port; kristjan; sihtrühm
5,5,5,4,4,4,3,5,5,11,epideemia; kuritegevus; port; kristjan; sihtrühm
5,5,5,4,5,4,3,5,5,11,epideemia; kuritegevus; port; kristjan; sihtrühm
4,5,5,5,5,4,5,5,5,11,epideemia; kuritegevus; port; kristjan; sihtrühm
4,5,5,5,5,5,4,5,5,11,epideemia; kuritegevus; port; kristjan; sihtrühm
4,5,5,5,5,5,3,5,5,11,epideemia; kuritegevus; port; kristjan; sihtrühm
4,5,5,5,5,5,4,5,5,11,epideemia; kuritegevus; port; kristjan; sihtrühm
3,5,5,4,5,5,4,5,5,11,epideemia; kuritegevus; port; kristjan; sihtrühm
