EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,4,6,6,6,6,4,6,13,rahvusvahelisus; eesti; koolisüsteem; palk; tasakaal; reimand; keelepoliitika; keel; indrek; arengukava
8,6,5,6,6,6,6,4,6,13,rahvusvahelisus; eesti; koolisüsteem; palk; tasakaal; reimand; keelepoliitika; keel; indrek; arengukava
8,8,5,6,6,6,6,4,6,13,rahvusvahelisus; eesti; koolisüsteem; palk; tasakaal; reimand; keelepoliitika; keel; indrek; arengukava
10,8,7,7,8,6,6,8,7,13,arengukava; rahvusvahelisus; piret; eesti; kriivan; ministeerium; palk; tasakaal; reimand; keelepoliitika; keel; indrek; koolisüsteem
8,8,8,9,8,6,6,8,7,13,arengukava; rahvusvahelisus; piret; eesti; kriivan; ministeerium; palk; tasakaal; reimand; keelepoliitika; keel; indrek; koolisüsteem
10,9,11,9,9,7,5,10,7,13,arengukava; rahvusvahelisus; piret; eesti; kriivan; ministeerium; palk; tasakaal; reimand; keel; keelepoliitika; indrek; koolisüsteem
10,9,10,9,10,9,9,12,8,13,arengukava; rahvusvahelisus; piret; eesti; kriivan; ministeerium; palk; tasakaal; reimand; keelepoliitika; keel; indrek; koolisüsteem
8,8,10,8,10,11,8,13,8,13,arengukava; rahvusvahelisus; piret; eesti; kriivan; ministeerium; palk; tasakaal; reimand; keelepoliitika; keel; indrek; koolisüsteem
6,8,13,9,10,11,12,13,8,13,arengukava; rahvusvahelisus; piret; eesti; kriivan; ministeerium; palk; tasakaal; reimand; keelepoliitika; keel; indrek; koolisüsteem
7,9,10,8,11,8,9,12,9,13,arengukava; rahvusvahelisus; piret; eesti; kriivan; ministeerium; tasakaal; palk; reimand; keelepoliitika; keel; indrek; koolisüsteem
6,8,11,7,11,11,12,12,10,13,arengukava; rahvusvahelisus; piret; eesti; kriivan; ministeerium; tasakaal; palk; reimand; keelepoliitika; keel; indrek; koolisüsteem
