EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,7,9,7,8,7,8,10,6,12,šokolaad; stuudio; plaat; eesti; raadio; inglise; ansambel; album; lugu; queen
10,7,9,7,8,8,8,10,6,12,šokolaad; stuudio; plaat; eesti; raadio; inglise; ansambel; album; lugu; queen
10,8,9,7,8,8,8,10,6,12,šokolaad; stuudio; plaat; eesti; raadio; inglise; ansambel; album; lugu; queen
10,7,9,7,8,9,7,10,6,12,šokolaad; stuudio; plaat; eesti; raadio; inglise; ansambel; album; lugu; queen
10,7,10,7,8,9,7,10,6,12,šokolaad; stuudio; plaat; eesti; raadio; inglise; ansambel; album; lugu; queen
10,6,10,6,8,9,6,10,7,12,šokolaad; stuudio; plaat; eesti; raadio; inglise; ansambel; album; lugu; queen
8,6,9,10,8,10,7,10,7,12,šokolaad; stuudio; plaat; eesti; raadio; ansambel; inglise; album; lugu; queen
7,7,9,9,9,9,8,10,7,12,šokolaad; stuudio; plaat; eesti; raadio; inglise; ansambel; album; lugu; queen
7,7,9,9,9,10,6,8,7,12,šokolaad; stuudio; plaat; eesti; raadio; inglise; ansambel; album; lugu; queen
7,8,7,9,8,10,8,10,6,12,šokolaad; stuudio; plaat; eesti; raadio; inglise; ansambel; album; lugu; queen
7,7,8,9,8,9,8,10,7,12,šokolaad; stuudio; plaat; eesti; raadio; inglise; ansambel; album; lugu; queen
