EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,6,2,6,6,4,5,6,3,15,kaplinski; eesti; süsteem; tohuvabohu; kõnekeel; isereguleeruv; keel; jaan; alaväärsustunne; tühi-tähi; hägusus; keelevaist
9,6,2,6,6,4,5,6,3,15,kaplinski; eesti; süsteem; tohuvabohu; kõnekeel; isereguleeruv; keel; jaan; alaväärsustunne; tühi-tähi; hägusus; keelevaist
8,6,2,6,6,4,5,6,3,15,kaplinski; eesti; süsteem; tohuvabohu; kõnekeel; isereguleeruv; keel; jaan; alaväärsustunne; tühi-tähi; hägusus; keelevaist
8,7,3,6,7,5,5,6,3,15,süsteem; tohuvabohu; isereguleeruv; tühi-tähi; keelevaist; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
8,7,4,7,7,6,5,8,3,15,süsteem; tohuvabohu; isereguleeruv; tühi-tähi; keelevaist; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
9,8,6,8,7,5,4,8,3,15,süsteem; tohuvabohu; isereguleeruv; tühi-tähi; keelevaist; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
6,6,6,7,8,8,9,7,3,15,tohuvabohu; süsteem; isereguleeruv; tühi-tähi; keelevaist; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
4,6,8,5,8,6,9,7,3,15,tohuvabohu; süsteem; isereguleeruv; tühi-tähi; keelevaist; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
5,5,11,5,8,8,9,10,3,15,tohuvabohu; süsteem; isereguleeruv; tühi-tähi; keelevaist; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
3,5,10,7,8,9,7,10,3,15,tohuvabohu; süsteem; isereguleeruv; tühi-tähi; keelevaist; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
3,6,11,7,7,8,6,8,4,15,tohuvabohu; süsteem; isereguleeruv; tühi-tähi; keelevaist; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
