EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,11,8,10,11,12,12,11,11,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
12,11,8,11,11,12,12,12,11,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
12,11,7,11,11,12,12,12,11,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
12,11,10,12,11,12,12,12,11,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
12,11,12,12,11,12,12,12,11,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
12,11,12,12,11,12,12,12,11,15,autor; urmas; vadi; tõlge; vikerraadio; vene; ülar; reaalsusest; jevgeni; kompleks; inimlik; lauk
12,11,12,11,11,12,12,12,11,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
12,11,12,11,12,12,12,12,12,15,autor; urmas; vadi; tõlge; vikerraadio; vene; ülar; reaalsusest; jevgeni; kompleks; inimlik; lauk
12,11,12,11,12,11,12,12,12,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
12,12,12,11,12,11,12,12,12,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
12,12,12,12,12,11,12,12,12,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
