EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,4,5,3,4,4,5,5,12,film; eesti; filmitegija; eelarve; kino; sõprus; formaat; dokumentaalfilm
6,6,4,5,3,4,5,6,5,12,film; eesti; filmitegija; eelarve; kino; sõprus; formaat; dokumentaalfilm
6,6,4,4,3,4,5,7,5,12,film; eesti; filmitegija; eelarve; kino; sõprus; formaat; dokumentaalfilm
4,5,5,4,3,5,6,7,5,12,film; eesti; filmitegija; eelarve; kino; sõprus; formaat; dokumentaalfilm
4,6,6,4,5,5,6,6,5,12,film; eesti; filmitegija; eelarve; kino; sõprus; formaat; dokumentaalfilm
5,5,6,4,5,4,5,6,5,12,film; eesti; filmitegija; eelarve; kino; sõprus; formaat; dokumentaalfilm
6,4,2,4,5,5,7,5,5,12,film; eesti; filmitegija; eelarve; kino; sõprus; formaat; dokumentaalfilm
6,3,4,4,6,5,6,5,5,12,film; eesti; filmitegija; eelarve; kino; sõprus; formaat; dokumentaalfilm
4,2,3,5,6,5,4,4,4,12,film; eesti; filmitegija; eelarve; kino; sõprus; formaat; dokumentaalfilm
4,3,2,4,6,5,2,4,3,12,film; eesti; filmitegija; eelarve; kino; sõprus; formaat; dokumentaalfilm
5,3,4,4,5,3,3,3,3,12,film; eesti; filmitegija; eelarve; kino; sõprus; formaat; dokumentaalfilm
