EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,3,2,4,2,2,3,3,3,14,töö; vooglaid; sõda; õlletegu; ülo; vanaisa
6,3,4,4,2,3,3,4,3,14,töö; vooglaid; sõda; õlletegu; ülo; vanaisa
6,3,4,3,1,4,3,5,3,14,töö; vooglaid; sõda; õlletegu; ülo; vanaisa
5,3,5,3,1,4,3,5,3,14,töö; vooglaid; õlletegu; sõda; ülo; vanaisa
5,3,5,3,1,3,3,5,3,14,töö; vooglaid; õlletegu; sõda; ülo; vanaisa
4,3,5,4,1,4,4,5,3,14,töö; vooglaid; õlletegu; sõda; ülo; vanaisa
3,3,4,5,2,4,3,5,3,14,töö; vooglaid; õlletegu; sõda; ülo; vanaisa
2,3,5,5,3,4,4,5,3,14,töö; vooglaid; õlletegu; sõda; ülo; vanaisa
1,2,5,3,5,3,4,5,3,14,töö; vooglaid; õlletegu; sõda; ülo; vanaisa
1,3,5,3,5,3,3,3,3,14,töö; vooglaid; õlletegu; sõda; ülo; vanaisa
1,2,4,3,5,4,3,5,4,14,töö; vooglaid; õlletegu; sõda; ülo; vanaisa
