EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,7,4,8,2,5,5,4,6,14,tsivilisatsioon; kaja; kapitalism; tammsaare; teater; kontsert; klassika; stoppard; nüganen; elmo; kärner; utoopia; revolutsionäär
9,7,4,8,2,6,5,6,6,14,tsivilisatsioon; kaja; kapitalism; tammsaare; teater; kontsert; klassika; stoppard; nüganen; elmo; kärner; utoopia; revolutsionäär
9,7,4,8,2,6,6,6,6,14,tsivilisatsioon; kaja; kapitalism; tammsaare; teater; kontsert; klassika; stoppard; nüganen; elmo; kärner; utoopia; revolutsionäär
9,9,7,9,2,6,7,6,6,14,tsivilisatsioon; kaja; kapitalism; tammsaare; teater; kontsert; klassika; stoppard; nüganen; elmo; kärner; utoopia; revolutsionäär
8,9,7,7,6,7,8,6,6,14,tsivilisatsioon; kaja; kapitalism; tammsaare; teater; kontsert; klassika; stoppard; elmo; nüganen; kärner; utoopia; revolutsionäär
5,8,9,6,7,8,8,8,5,14,tsivilisatsioon; kaja; kapitalism; tammsaare; teater; klassika; kontsert; stoppard; elmo; nüganen; revolutsionäär; utoopia; kärner
8,8,10,3,8,5,7,7,5,14,tsivilisatsioon; kaja; kapitalism; tammsaare; teater; kontsert; klassika; stoppard; nüganen; elmo; revolutsionäär; utoopia; kärner
9,5,12,4,8,8,10,7,6,14,tsivilisatsioon; kaja; kapitalism; tammsaare; teater; kontsert; klassika; stoppard; nüganen; elmo; revolutsionäär; utoopia; kärner
5,5,11,5,8,5,5,8,6,14,tsivilisatsioon; kaja; kapitalism; tammsaare; teater; klassika; kontsert; stoppard; nüganen; elmo; revolutsionäär; utoopia; kärner
5,5,9,5,9,6,6,10,6,14,tsivilisatsioon; kaja; kapitalism; tammsaare; teater; klassika; kontsert; stoppard; nüganen; elmo; revolutsionäär; kärner; utoopia
5,4,9,5,8,6,5,7,7,14,tsivilisatsioon; kaja; kapitalism; tammsaare; teater; klassika; kontsert; stoppard; nüganen; elmo; revolutsionäär; kärner; utoopia
