EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,2,5,3,3,4,8,4,13,eelarve; erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
5,4,3,5,3,3,4,8,4,13,eelarve; erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
6,5,4,5,3,4,3,8,4,13,eelarve; erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
6,5,4,5,3,4,3,7,4,13,eelarve; erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
6,3,5,5,3,5,3,8,4,13,eelarve; erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
6,3,6,5,4,3,4,8,4,13,eelarve; erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
4,4,5,4,5,4,4,7,4,13,eelarve; erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
4,4,6,5,6,5,4,3,4,13,eelarve; erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
3,3,5,4,2,5,3,3,4,13,eelarve; erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
3,3,7,4,7,6,6,3,4,13,eelarve; erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
4,3,6,5,5,6,6,3,6,13,eelarve; erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
