EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,8,5,6,6,6,5,5,3,12,seljakott; madis; korrus; tuletõrje; vaheoja; jooks; aesma; indrek; trepp
5,8,6,6,7,6,5,5,3,12,seljakott; madis; korrus; tuletõrje; vaheoja; jooks; aesma; indrek; trepp
5,8,6,7,7,7,6,7,3,12,seljakott; madis; korrus; tuletõrje; vaheoja; jooks; aesma; indrek; trepp
6,8,8,7,7,7,6,8,3,12,seljakott; madis; korrus; tuletõrje; jooks; vaheoja; aesma; indrek; trepp
8,8,8,7,7,7,7,8,3,12,seljakott; madis; korrus; tuletõrje; vaheoja; jooks; aesma; indrek; trepp
8,8,8,7,8,7,6,9,5,12,seljakott; madis; korrus; tuletõrje; vaheoja; jooks; aesma; indrek; trepp
9,8,8,7,8,7,7,9,5,12,seljakott; madis; korrus; tuletõrje; vaheoja; jooks; aesma; indrek; trepp
9,7,8,7,8,7,7,9,5,12,seljakott; madis; korrus; tuletõrje; vaheoja; jooks; aesma; indrek; trepp
9,7,8,8,9,7,9,9,6,12,seljakott; madis; korrus; tuletõrje; vaheoja; jooks; aesma; indrek; trepp
9,8,9,9,9,7,9,9,6,12,seljakott; madis; korrus; tuletõrje; vaheoja; jooks; aesma; indrek; trepp
9,8,9,9,9,7,9,9,6,12,seljakott; madis; korrus; tuletõrje; vaheoja; jooks; aesma; indrek; trepp
