EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,4,4,4,5,4,4,6,13,rumessen; jõud; muusika; vardo; vene; sonaat
6,5,4,4,4,5,4,4,6,13,rumessen; jõud; muusika; vardo; vene; sonaat
6,6,5,4,4,5,4,4,6,13,rumessen; jõud; muusika; vardo; vene; sonaat
6,6,5,4,4,5,4,4,6,13,rumessen; jõud; muusika; vardo; vene; sonaat
6,6,4,5,4,5,4,4,6,13,rumessen; jõud; muusika; vardo; vene; sonaat
6,5,5,6,4,5,5,4,6,13,rumessen; jõud; muusika; vardo; vene; sonaat
5,4,6,6,6,6,6,2,6,13,rumessen; jõud; muusika; vardo; vene; sonaat
6,5,5,5,5,5,6,5,5,13,jõud; rumessen; muusika; vardo; vene; sonaat
5,5,6,5,6,5,6,5,5,13,jõud; rumessen; muusika; vardo; vene; sonaat
5,5,6,6,6,6,6,6,5,13,jõud; rumessen; muusika; vardo; vene; sonaat
5,4,6,6,6,6,6,6,5,13,rumessen; jõud; muusika; vardo; vene; sonaat
