EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,4,1,3,3,6,2,2,3,15,helgi; rothschild; erilaid; paruness; fantaasiapidu; loss; värvitoon
6,4,2,3,3,6,2,2,3,15,helgi; rothschild; erilaid; paruness; fantaasiapidu; loss; värvitoon
6,4,3,3,3,6,3,2,3,15,helgi; rothschild; erilaid; paruness; fantaasiapidu; loss; värvitoon
6,4,5,3,4,6,3,3,3,15,helgi; rothschild; erilaid; paruness; fantaasiapidu; loss; värvitoon
6,5,5,3,4,6,3,3,4,15,helgi; rothschild; erilaid; paruness; fantaasiapidu; loss; värvitoon
7,2,4,4,4,5,4,3,4,15,helgi; rothschild; erilaid; paruness; fantaasiapidu; loss; värvitoon
5,3,6,4,4,5,4,4,4,15,helgi; rothschild; erilaid; paruness; fantaasiapidu; loss; värvitoon
4,4,4,4,4,4,4,6,4,15,helgi; rothschild; erilaid; paruness; fantaasiapidu; loss; värvitoon
2,3,4,4,3,7,5,7,4,15,helgi; rothschild; erilaid; paruness; fantaasiapidu; loss; värvitoon
0,3,4,4,3,2,5,7,6,15,helgi; rothschild; erilaid; paruness; fantaasiapidu; loss; värvitoon
0,2,3,3,4,3,5,6,5,15,helgi; rothschild; erilaid; paruness; fantaasiapidu; loss; värvitoon
