EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,7,2,6,8,8,7,7,3,15,peeter; artur; viktoriin; estraadiorkester; joala; rinne; edgar; selberg; saul; jaak; varietee
9,6,3,6,7,9,7,7,3,15,peeter; artur; viktoriin; estraadiorkester; joala; rinne; edgar; selberg; saul; jaak; varietee
9,7,5,6,7,9,7,7,3,15,peeter; artur; viktoriin; estraadiorkester; joala; rinne; edgar; selberg; saul; jaak; varietee
10,6,5,6,7,10,8,8,3,15,peeter; artur; viktoriin; estraadiorkester; joala; rinne; edgar; selberg; saul; jaak; varietee
10,5,6,6,7,10,8,8,3,15,peeter; artur; viktoriin; estraadiorkester; joala; rinne; edgar; selberg; saul; jaak; varietee
9,2,8,5,7,9,9,8,3,15,peeter; artur; viktoriin; estraadiorkester; joala; rinne; edgar; selberg; saul; jaak; varietee
5,3,9,8,9,8,7,9,5,15,peeter; artur; viktoriin; estraadiorkester; joala; rinne; edgar; selberg; saul; jaak; varietee
3,5,8,9,8,7,5,8,8,15,peeter; artur; viktoriin; estraadiorkester; joala; rinne; edgar; selberg; saul; jaak; varietee
3,6,6,8,10,5,4,9,7,15,peeter; artur; viktoriin; estraadiorkester; joala; rinne; edgar; selberg; saul; jaak; varietee
3,8,8,7,10,3,3,9,10,15,peeter; artur; viktoriin; estraadiorkester; joala; rinne; edgar; selberg; saul; jaak; varietee
3,8,10,6,10,4,4,10,11,15,peeter; artur; viktoriin; estraadiorkester; joala; rinne; edgar; selberg; saul; jaak; varietee
