EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,5,7,8,7,5,6,6,16,mets; arm; agu; rajaste; vaike; tantsupidu; maa; mait; hing
9,8,5,7,8,7,5,6,6,16,mets; arm; agu; rajaste; vaike; tantsupidu; maa; mait; hing
9,8,6,7,8,7,5,6,6,16,mets; arm; agu; rajaste; vaike; tantsupidu; maa; mait; hing
9,8,5,7,8,8,5,7,6,16,mets; arm; agu; rajaste; vaike; tantsupidu; maa; mait; hing
9,8,7,8,8,8,5,7,6,16,mets; arm; agu; rajaste; vaike; tantsupidu; maa; mait; hing
8,8,8,9,8,7,7,6,6,16,mets; arm; agu; rajaste; vaike; tantsupidu; maa; mait; hing
9,8,9,9,8,8,7,7,6,16,mets; arm; agu; rajaste; vaike; tantsupidu; maa; mait; hing
8,8,9,9,9,9,8,9,8,16,mets; arm; agu; vaike; rajaste; tantsupidu; maa; mait; hing
9,8,9,9,9,9,9,9,8,16,mets; arm; agu; vaike; rajaste; tantsupidu; maa; mait; hing
9,8,9,9,9,7,9,9,8,16,mets; arm; agu; vaike; rajaste; tantsupidu; maa; mait; hing
9,8,9,9,9,8,9,9,9,16,mets; arm; agu; vaike; rajaste; tantsupidu; maa; mait; hing
