EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,1,3,3,5,4,6,6,13,andrus; graafika; poola; jüri; president; ansip; adams
3,3,3,3,3,5,4,6,6,13,andrus; graafika; poola; jüri; president; ansip; adams
3,3,4,5,3,5,4,6,6,13,andrus; graafika; poola; jüri; president; ansip; adams
4,3,4,6,3,5,4,6,6,13,andrus; graafika; poola; jüri; president; ansip; adams
5,4,4,6,4,6,4,6,6,13,andrus; graafika; poola; jüri; president; ansip; adams
6,5,5,7,5,6,6,6,5,13,andrus; graafika; poola; jüri; president; ansip; adams
6,5,5,7,5,7,5,6,5,13,andrus; graafika; poola; jüri; president; ansip; adams
5,5,6,5,6,6,6,5,4,13,andrus; graafika; poola; jüri; president; ansip; adams
4,6,4,5,7,6,6,6,5,13,andrus; graafika; poola; jüri; president; ansip; adams
4,7,6,5,7,5,7,7,5,13,andrus; graafika; poola; jüri; president; ansip; adams
4,7,5,4,6,5,7,6,5,13,andrus; graafika; poola; jüri; president; ansip; adams
