EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,9,11,7,6,3,6,8,18,andrus; saar; komisjon; eelarve; ott; ansip; tulistamisjuhtum; euroopa; kristjan; abikaasa; ilves; indrek; päevakaja
8,10,9,11,7,6,3,6,8,18,andrus; saar; komisjon; eelarve; ott; ansip; tulistamisjuhtum; euroopa; kristjan; abikaasa; ilves; indrek; päevakaja
8,11,10,12,7,5,5,7,8,18,andrus; saar; komisjon; eelarve; ott; ansip; tulistamisjuhtum; euroopa; kristjan; abikaasa; ilves; indrek; päevakaja
9,11,10,12,8,5,4,7,8,18,andrus; saar; komisjon; eelarve; ott; ansip; tulistamisjuhtum; euroopa; kristjan; abikaasa; ilves; indrek; päevakaja
11,10,11,12,10,5,7,8,7,18,andrus; saar; komisjon; ott; eelarve; ansip; tulistamisjuhtum; euroopa; kristjan; ilves; abikaasa; indrek; päevakaja
7,11,10,12,11,8,7,9,7,18,andrus; saar; komisjon; eelarve; ott; ansip; tulistamisjuhtum; euroopa; abikaasa; ilves; kristjan; indrek; päevakaja
6,8,13,8,11,8,7,10,7,18,andrus; saar; komisjon; eelarve; ott; ansip; tulistamisjuhtum; euroopa; ilves; abikaasa; kristjan; indrek; päevakaja
7,8,13,7,11,9,9,9,7,18,andrus; komisjon; eelarve; ott; ansip; tulistamisjuhtum; euroopa; kristjan; ilves; abikaasa; päevakaja; indrek; saar
5,9,12,7,12,6,9,10,5,18,andrus; eelarve; komisjon; ott; ansip; tulistamisjuhtum; euroopa; ilves; abikaasa; kristjan; päevakaja; indrek; saar
5,8,12,8,9,8,8,9,8,18,andrus; eelarve; komisjon; ott; ansip; tulistamisjuhtum; euroopa; ilves; abikaasa; kristjan; päevakaja; indrek; saar
5,7,13,8,11,9,8,10,6,18,andrus; komisjon; eelarve; ott; ansip; tulistamisjuhtum; euroopa; ilves; abikaasa; kristjan; päevakaja; indrek; saar
