EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,3,3,1,4,3,2,1,11,käsikiri; vaenlased; abitu; kriitika; rahutu
3,3,3,3,1,4,3,3,1,11,käsikiri; vaenlased; abitu; kriitika; rahutu
3,3,3,4,1,4,3,3,1,11,käsikiri; vaenlased; abitu; kriitika; rahutu
3,3,4,4,1,4,4,3,1,11,käsikiri; vaenlased; abitu; kriitika; rahutu
3,3,5,4,1,4,4,4,1,11,käsikiri; vaenlased; abitu; kriitika; rahutu
4,3,4,5,1,5,4,5,1,11,vaenlased; käsikiri; abitu; kriitika; rahutu
2,4,4,4,2,5,4,4,1,11,käsikiri; vaenlased; abitu; kriitika; rahutu
2,1,4,2,2,4,4,4,1,11,vaenlased; käsikiri; abitu; kriitika; rahutu
3,2,5,1,3,4,4,4,2,11,vaenlased; käsikiri; abitu; kriitika; rahutu
1,2,4,3,3,5,4,5,2,11,vaenlased; käsikiri; abitu; kriitika; rahutu
2,2,5,4,3,5,4,5,1,11,vaenlased; käsikiri; abitu; kriitika; rahutu
