EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,2,1,1,3,1,1,0,1,15,saksa; talveriided; laager; robert; loomavagun; tasso
4,2,1,1,3,1,1,0,1,15,saksa; talveriided; laager; robert; loomavagun; tasso
4,2,3,1,3,1,1,0,1,15,saksa; talveriided; laager; robert; loomavagun; tasso
3,2,4,1,3,1,1,1,1,15,saksa; talveriided; laager; robert; loomavagun; tasso
3,2,4,1,3,2,1,2,1,15,saksa; talveriided; laager; robert; loomavagun; tasso
4,3,5,1,3,1,1,3,1,15,saksa; talveriided; laager; robert; loomavagun; tasso
4,2,5,4,3,2,1,3,3,15,saksa; talveriided; laager; robert; loomavagun; tasso
3,3,3,5,4,4,2,5,3,15,saksa; talveriided; laager; robert; loomavagun; tasso
3,2,3,4,4,4,2,4,3,15,saksa; talveriided; laager; robert; loomavagun; tasso
3,2,4,4,4,3,3,5,4,15,saksa; talveriided; laager; robert; loomavagun; tasso
3,3,3,4,4,4,4,4,4,15,saksa; talveriided; laager; robert; loomavagun; tasso
