EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,6,5,7,8,7,5,5,8,15,tallinna; tootmisliin; iisrael; janukovitš; kai; alatskivi; üro; liibanon; vare; resolutsioon; viktor
9,6,5,7,8,7,6,7,8,15,tallinna; tootmisliin; iisrael; janukovitš; kai; alatskivi; üro; liibanon; vare; resolutsioon; viktor
9,4,7,7,8,7,6,7,8,15,tallinna; tootmisliin; iisrael; janukovitš; kai; alatskivi; üro; liibanon; vare; resolutsioon; viktor
9,3,8,9,8,7,6,7,8,15,tallinna; tootmisliin; iisrael; janukovitš; kai; alatskivi; üro; liibanon; vare; resolutsioon; viktor
9,5,9,8,9,7,6,7,8,15,tallinna; tootmisliin; iisrael; janukovitš; kai; alatskivi; üro; liibanon; vare; resolutsioon; viktor
8,6,8,10,11,9,5,7,8,15,tallinna; tootmisliin; iisrael; janukovitš; kai; alatskivi; üro; liibanon; vare; resolutsioon; viktor
8,5,10,10,10,9,7,8,8,15,tallinna; tootmisliin; iisrael; janukovitš; kai; alatskivi; üro; liibanon; vare; resolutsioon; viktor
7,6,11,9,10,6,8,8,8,15,tallinna; tootmisliin; iisrael; janukovitš; kai; alatskivi; üro; liibanon; vare; resolutsioon; viktor
6,8,11,7,8,5,7,8,8,15,tallinna; tootmisliin; iisrael; janukovitš; kai; alatskivi; üro; liibanon; vare; resolutsioon; viktor
7,6,9,5,6,5,7,8,8,15,tallinna; tootmisliin; iisrael; janukovitš; kai; alatskivi; üro; liibanon; vare; resolutsioon; viktor
4,6,9,5,9,4,5,7,9,15,tallinna; tootmisliin; iisrael; janukovitš; kai; alatskivi; üro; liibanon; vare; resolutsioon; viktor
