EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,5,5,5,4,5,4,5,10,suvepäev; vana; lõuna-eesti; pillimäng; tants
5,5,5,5,5,4,5,4,5,10,suvepäev; vana; lõuna-eesti; pillimäng; tants
5,5,4,5,4,4,5,4,5,10,suvepäev; vana; lõuna-eesti; pillimäng; tants
5,5,5,5,4,4,5,4,5,10,suvepäev; vana; lõuna-eesti; pillimäng; tants
5,5,5,5,4,5,5,4,5,10,suvepäev; vana; lõuna-eesti; pillimäng; tants
5,5,5,5,4,5,5,4,5,10,suvepäev; vana; lõuna-eesti; pillimäng; tants
5,5,5,5,5,5,4,4,5,10,suvepäev; vana; lõuna-eesti; pillimäng; tants
5,5,5,5,5,4,5,5,5,10,suvepäev; lõuna-eesti; tants; pillimäng; vana
5,5,5,5,5,4,4,5,5,10,suvepäev; lõuna-eesti; tants; pillimäng; vana
5,5,5,5,5,4,5,5,4,10,suvepäev; lõuna-eesti; tants; pillimäng; vana
5,5,5,5,5,4,5,5,5,10,suvepäev; lõuna-eesti; tants; pillimäng; vana
