EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,4,8,3,5,5,6,5,5,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
6,4,8,3,5,5,6,6,5,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
6,4,8,3,5,5,5,7,5,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
6,4,8,3,5,7,5,6,5,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
6,4,7,2,7,6,5,6,5,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
6,4,8,5,7,7,5,6,5,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
7,4,6,5,8,4,4,7,4,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
6,5,6,5,8,6,4,7,3,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
7,6,7,6,8,5,5,7,3,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
6,6,6,6,7,5,4,7,3,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
6,6,7,6,6,5,4,7,4,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
