EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,3,4,0,3,3,2,2,10,hobi; klassikatähed; oboemängija; ebapopulaarne
4,3,3,4,1,3,3,2,2,10,hobi; klassikatähed; oboemängija; ebapopulaarne
4,3,3,4,1,3,3,2,2,10,hobi; klassikatähed; oboemängija; ebapopulaarne
4,3,3,4,1,3,3,2,2,10,hobi; klassikatähed; oboemängija; ebapopulaarne
4,3,3,4,1,4,3,4,2,10,hobi; klassikatähed; oboemängija; ebapopulaarne
4,2,4,4,1,4,3,4,2,10,hobi; klassikatähed; oboemängija; ebapopulaarne
4,1,3,3,3,4,4,4,2,10,hobi; klassikatähed; oboemängija; ebapopulaarne
2,2,4,4,3,4,3,4,2,10,hobi; klassikatähed; oboemängija; ebapopulaarne
3,3,4,2,2,4,4,4,3,10,hobi; klassikatähed; oboemängija; ebapopulaarne
3,3,3,3,2,4,4,4,2,10,hobi; klassikatähed; oboemängija; ebapopulaarne
4,3,4,2,2,3,3,3,3,10,hobi; klassikatähed; oboemängija; ebapopulaarne
