EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,7,7,4,4,6,5,5,6,14,küsimus; hellitus; hermann; friedebert; johannes; armas; august; keel; karl; raud; tuglas
5,7,7,4,4,6,5,8,6,14,friedebert; johannes; raud; karl; tuglas; küsimus; hellitus; armas; august; keel; hermann
7,7,7,4,4,6,8,8,6,14,friedebert; johannes; raud; tuglas; karl; küsimus; hellitus; armas; august; keel; hermann
8,7,8,4,4,8,8,10,6,14,friedebert; johannes; raud; tuglas; karl; küsimus; hellitus; armas; august; keel; hermann
10,7,7,6,6,8,11,10,6,14,friedebert; johannes; raud; karl; tuglas; küsimus; hellitus; armas; august; keel; hermann
7,8,8,7,5,7,8,8,6,14,friedebert; johannes; raud; tuglas; karl; küsimus; hellitus; armas; august; keel; hermann
5,6,9,11,6,8,7,8,6,14,friedebert; johannes; raud; tuglas; karl; küsimus; hellitus; armas; august; keel; hermann
0,3,9,10,6,9,6,8,9,14,friedebert; johannes; raud; karl; tuglas; küsimus; hellitus; armas; august; keel; hermann
0,4,10,9,6,6,4,8,7,14,friedebert; johannes; raud; karl; tuglas; küsimus; hellitus; armas; august; keel; hermann
1,4,8,9,5,4,4,5,9,14,friedebert; johannes; raud; karl; tuglas; küsimus; hellitus; armas; august; keel; hermann
2,4,7,8,5,5,3,8,7,14,friedebert; johannes; raud; karl; tuglas; küsimus; hellitus; armas; august; keel; hermann
