EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,2,3,2,2,3,4,3,11,ants; paavel; signe; jõhkard; apaatsus
5,4,2,3,2,2,3,4,3,11,ants; paavel; signe; jõhkard; apaatsus
5,3,3,3,3,2,2,4,3,11,ants; paavel; signe; jõhkard; apaatsus
5,3,3,3,3,2,3,4,3,11,ants; paavel; signe; jõhkard; apaatsus
5,3,3,3,3,2,4,4,3,11,ants; paavel; signe; jõhkard; apaatsus
5,3,3,4,3,3,4,4,3,11,ants; paavel; signe; jõhkard; apaatsus
3,4,3,3,3,3,4,4,3,11,ants; paavel; signe; jõhkard; apaatsus
3,4,3,4,4,3,3,4,3,11,ants; paavel; signe; jõhkard; apaatsus
2,3,4,2,4,3,4,4,3,11,ants; paavel; signe; jõhkard; apaatsus
2,3,4,2,4,3,3,3,3,11,ants; paavel; signe; jõhkard; apaatsus
2,3,5,2,3,3,3,4,3,11,ants; paavel; signe; jõhkard; apaatsus
