EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,9,9,11,5,10,10,10,7,16,institutsioon; maria-kristiina; sümboolne; kunstimaailm; soomre; reaalne; anders; kunstnike; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
12,9,9,11,5,10,10,10,8,16,institutsioon; maria-kristiina; sümboolne; kunstimaailm; soomre; reaalne; anders; kunstnike; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
12,8,9,11,5,9,9,10,8,16,institutsioon; maria-kristiina; sümboolne; kunstimaailm; soomre; reaalne; anders; kunstnike; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
12,9,7,11,5,8,10,10,8,16,institutsioon; maria-kristiina; sümboolne; kunstimaailm; soomre; reaalne; anders; kunstnike; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
11,9,9,12,7,7,10,11,10,16,institutsioon; maria-kristiina; sümboolne; kunstimaailm; soomre; reaalne; anders; kunstnike; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
13,10,11,12,7,8,8,12,10,16,institutsioon; maria-kristiina; sümboolne; kunstimaailm; soomre; reaalne; kunstnike; anders; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
10,8,10,13,7,9,9,11,10,16,institutsioon; maria-kristiina; sümboolne; kunstimaailm; soomre; reaalne; kunstnike; anders; kunstnik; liit; kunstimuuseum; kriitik; härm; publik; võim; kuraator
8,13,9,12,10,10,10,12,11,16,institutsioon; maria-kristiina; sümboolne; kunstimaailm; soomre; reaalne; kunstnike; anders; kunstnik; liit; kunstimuuseum; kriitik; härm; publik; võim; kuraator
6,12,8,12,11,7,11,11,10,16,institutsioon; maria-kristiina; sümboolne; kunstimaailm; soomre; reaalne; kunstnike; anders; kunstnik; liit; kunstimuuseum; kriitik; härm; publik; võim; kuraator
7,11,7,13,14,7,11,8,11,16,institutsioon; maria-kristiina; sümboolne; kunstimaailm; soomre; reaalne; kunstnike; anders; kunstnik; liit; kunstimuuseum; kriitik; härm; publik; võim; kuraator
7,8,8,12,12,4,12,8,13,16,institutsioon; maria-kristiina; sümboolne; kunstimaailm; soomre; reaalne; kunstnike; anders; kunstnik; liit; kunstimuuseum; kriitik; härm; publik; võim; kuraator
